Numero,Nombre,Barrio
1,Pº de Recoletos ,SALAMANCA
2,Carlos V ,CENTRO
3,Plaza del Carmen ,CENTRO
4,Plaza de España ,CENTRO
5,Bº del Pilar ,TETUAN
6,Gregorio Marañon ,SALAMANCA
8,Escuelas Aguirre ,SALAMANCA
10,Cuatro Caminos ,MONCLOA-ARAVACA
11,Ramón y Cajal ,TETUAN
12,Manuel Becerra ,SALAMANCA
13,Vallecas ,PUENTE DE VALLECAS
14,Fernández Ladreda ,USERA
16,Arturo Soria ,SAN BLAS-CANILLEJAS
17,Villaverde ,VILLAVERDE
18,Farolillo ,CARABANCHEL
19,Alto Extremadura ,LATINA
20,Avda Moratalaz ,MORATALAZ
24,Casa de Campo ,MONCLOA-ARAVACA
26,Santa Eugenia ,VILLA DE VALLECAS
26,Embajada ,BARAJAS
27,Barajas Pueblo ,BARAJAS
28,Cuatro Vientos ,LATINA
29,El Pardo ,FUENCARRAL-EL PARDO
30,Campo de las Naciones ,BARAJAS
31,Sanchinarro ,HORTALEZA
47,Mendez Álvaro ,ARGANZUELA
48,Castellana ,SALAMANCA
50,Pza de Castilla ,CHAMARTIN
54,Ensanche de Vallecas ,VILLA DE VALLECAS
55,Urb Embajada II ,BARAJAS
86,Tres Olivos ,FUENCARRAL-EL PARDO
