NMT,Situación,ld,le,ln,laeq,las01,las10,las50,las90,las99
1,Paseo de Recoletos,70,"68,9","66,5",69,"65,9","63,3","57,6","48,8","41,2"
2,Carlos V,"70,3","70,1","67,2","69,4","75,9","71,3","68,1","61,9",56
3,Plaza del Carmen,"62,3","63,6","60,6","62,4","70,2","64,2","58,9","53,6","48,6"
4,Plaza de España,"65,7","66,1","62,7",65,"72,1","67,4","63,6","57,3","50,1"
5,Barrio del Pilar,66,"66,5","56,4","64,6","74,4","67,9","59,8","47,4","40,6"
6,Gregorio Marañón,"71,6","71,2","67,4","70,2",77,"73,6","67,1","55,6","32,3"
8,Escuelas Aguirre,"68,3","67,7","64,7","67,3","73,9","70,4","65,6","58,3","49,5"
10,Cuatro Caminos,"66,4","65,3","60,8",65,"73,3","68,6","60,9","51,9","47,1"
11,Ramón y Cajal,"69,1","68,6","63,1","67,7","73,9","70,9","66,1","52,8","41,2"
12,Plaza Manuel Becerra,"64,9","65,1","62,4","64,4","70,4","65,3","61,4","53,9","46,6"
13,Vallecas,"63,5","69,2","59,4","64,5",68,"60,8","53,4","42,3","37,8"
14,Glorieta Fdez. Ladreda,"66,2","65,6","62,1","65,1","71,1","67,6",63,"55,7","48,5"
16,Arturo Soria,"62,3","62,5","64,8","63,3","67,6","64,7","59,2","43,7","36,3"
17,Villaverde,"59,1",62,"51,4","58,7","66,8","59,2","52,5","43,2","38,6"
18,Farolillo,"60,3","64,1","51,1","60,1","66,8","59,2","51,8",43,37
19,Alto Extremadura,"62,1","61,8","58,9","61,2","69,4","63,9","57,6",48,"39,1"
20,Avda de Moratalaz,"63,3","62,8","56,1","61,8","70,6","64,5","58,4","46,3","39,9"
24,Casa de Campo,"51,1","45,9","43,2",49,"59,2","50,9","44,6","39,8",37
25,Santa Eugenia,"66,5",66,"61,4","65,2","69,7","67,7","65,2","57,5","49,1"
26,Embajada,"63,8","63,7","58,4","62,6","63,6","59,6",49,"39,9","36,1"
27,Barajas Pueblo,"62,8","63,8","57,6","61,9","72,3","65,6","53,5","43,6","36,8"
28,Cuatro Vientos,"67,9","67,1",61,"66,4","74,9",71,"60,8","42,9",37
29,El Pardo,"57,5","55,1","49,6","55,6","64,9","59,6","49,7","36,6","34,1"
30,Campo de las Naciones,"61,1","59,6","53,2","59,3","66,6","63,1","56,9","43,7","39,3"
31,Sanchinarro,"64,9","64,7","54,6","63,3",73,"68,4","55,2","44,7","38,7"
47,Méndez Álvaro,"57,8","57,8","50,8","56,5","67,2","55,6","47,7","40,8","36,8"
48,Castellana,63,"62,6","59,1",62,68,"65,1","60,8",54,"46,1"
50,Pza de Castilla,"66,1",66,"61,2",65,"62,7","58,6","53,2",42,"37,2"
54,Ensanche de Vallecas,"61,9","62,3","56,6","60,8","67,3",64,"59,4","52,3","46,3"
55,Urbanización Embajada II,56,"55,8","51,1","54,7","63,2","57,9","50,2","44,3","41,7"
86,Tres Olivos,"59,6","60,7","51,1","58,4","66,9",61,"51,1","39,6",37
